"state","business","state-2"
"Alaska",1398,"Alaska"
"Alaska",6317,"Alaska"
"Alaska",2923,"Alaska"
"Alaska",10638,"Alaska"
"Alaska",1995,"Alaska"
"Alaska",5741,"Alaska"
"Alaska",4133,"Alaska"
"Alaska",11869,"Alaska"
"Alaska",1398,"Alaska"
"Alaska",6317,"Alaska"
"Alaska",2923,"Alaska"
"Alaska",10638,"Alaska"
"Alaska",1995,"Alaska"
"Alaska",5741,"Alaska"
"Alaska",4133,"Alaska"
"Alaska",11869,"Alaska"
"Alaska",1398,"Alaska"
"Alaska",6317,"Alaska"
"Alaska",2923,"Alaska"
"Alaska",10638,"Alaska"
"Alaska",1995,"Alaska"
"Alaska",5741,"Alaska"
"Alaska",4133,"Alaska"
"Alaska",11869,"Alaska"
"Alaska",1398,"Alaska"
"Alaska",6317,"Alaska"
"Alaska",2923,"Alaska"
"Alaska",10638,"Alaska"
"Alaska",1995,"Alaska"
"Alaska",5741,"Alaska"
"Alaska",4133,"Alaska"
"Alaska",11869,"Alaska"
"Alaska",1398,"Alaska"
"Alaska",6317,"Alaska"
"Alaska",2923,"Alaska"
"Alaska",10638,"Alaska"
"Alaska",1995,"Alaska"
"Alaska",5741,"Alaska"
"Alaska",4133,"Alaska"
"Alaska",11869,"Alaska"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Alabama",10242,"Alabama"
"Alabama",57340,"Alabama"
"Alabama",28656,"Alabama"
"Alabama",96238,"Alabama"
"Alabama",29119,"Alabama"
"Alabama",54931,"Alabama"
"Alabama",29859,"Alabama"
"Alabama",113909,"Alabama"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
"Arkansas",12393,"Arkansas"
"Arkansas",27356,"Arkansas"
"Arkansas",14989,"Arkansas"
"Arkansas",54738,"Arkansas"
"Arkansas",6282,"Arkansas"
"Arkansas",25387,"Arkansas"
"Arkansas",13613,"Arkansas"
"Arkansas",45282,"Arkansas"
