State,School Name,URL
Alaska,University of Alaska,http://alaska.edu
Alaska,Alaska Christian College,http://alaskacc.edu
Alaska,National Park Community College,http://npcc.edu
Alaska,University of Alaska Fairbanks,http://uaf.edu
Alaska,University of Arkansas – Fort Smith,http://uafs.edu
Alabama,Alabama A&M University,http://aamu.edu
Alabama,Athens State University,http://athens.edu
Alabama,Auburn University,http://auburn.edu
Alabama,Auburn University at Montgomery,http://aum.edu
Alabama,Birmingham-Southern College,http://bsc.edu
Alabama,Calhoun Community College,http://calhoun.edu
Alabama,Enterprise State Community College,http://escc.edu
Alabama,Faulkner State Community College,http://faulknerstate.edu
Alabama,Gadsden State  Community College,http://gadsdenstate.edu
Alabama,Huntingdon College,http://huntingdon.edu
Alabama,Jacksonville State University,http://jsu.edu
Alabama,Lurleen B. Wallace Community College,http://lbwcc.edu
Alabama,University of Montevallo,http://montevallo.edu
Alabama,Northeast Alabama Community College,http://nacc.edu
Alabama,Northwest-Shoals Community College,http://nwscc.edu
Alabama,Oakwood University,http://oakwood.edu
Alabama,Samford University,http://samford.edu
Alabama,Southeastern Bible College,http://sebc.edu
Alabama,University of South Alabama,http://southalabama.edu
Alabama,Trenholm State Technical College,http://trenholmstate.edu
Alabama,Troy University,http://troy.edu
Alabama,Tuskegee University,http://tuskegee.edu
Alabama,University of Alabama,http://ua.edu
Alabama,University of Alabama at Birmingham,http://uab.edu
Alabama,University of Alabama in Huntsville,http://uah.edu
Alabama,University of North Alabama,http://una.edu
Alabama,Snead State Community College,http://snead.edu
Arkansas,Arkansas Northeastern College,http://anc.edu
Arkansas,Arkansas State University,http://astate.edu
Arkansas,Arkansas Tech University,http://atu.edu
Arkansas,Central Baptist College,http://cbc.edu
Arkansas,Harding University,http://harding.edu
Arkansas,Hendrix College,http://hendrix.edu
Arkansas,Henderson State University,http://hsu.edu
Arkansas,John Brown University,http://jbu.edu
Arkansas,Lyon College,http://lyon.edu
Arkansas,Mid-South Community College,http://midsouthcc.edu
Arkansas,North Arkansas College,http://northark.edu
Arkansas,Northwest Arkansas Community College,http://nwacc.edu
